Day,AMPM,Time,Activity,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
11,PM,6:30-7:10,pd1a,1,0,0,0,0,0,0,0,0,0,0,1
11,PM,6:30-7:10,pd1b,0,1,0,0,0,0,0,0,0,0,1,0
11,PM,6:30-7:10,pd2a,0,0,1,0,0,0,0,0,0,1,0,0
11,PM,6:30-7:10,pd2b,0,0,0,1,0,0,0,0,1,0,0,0
11,PM,6:30-7:10,pd3a,0,0,0,0,1,0,0,1,0,0,0,0
11,PM,6:30-7:10,pd3b,0,0,0,0,0,1,1,0,0,0,0,0
11,PM,7:20-8:00,pd2a,1,0,0,0,0,0,0,0,0,0,0,1
11,PM,7:20-8:00,pd2b,0,1,0,0,0,0,0,0,0,0,1,0
11,PM,7:20-8:00,pd3a,0,0,1,0,0,0,0,0,0,1,0,0
11,PM,7:20-8:00,pd3b,0,0,0,1,0,0,0,0,1,0,0,0
11,PM,7:20-8:00,pd1a,0,0,0,0,1,0,0,1,0,0,0,0
11,PM,7:20-8:00,pd1b,0,0,0,0,0,1,1,0,0,0,0,0
11,PM,8:10-8:50,pd3a,1,0,0,0,0,0,0,0,0,0,0,1
11,PM,8:10-8:50,pd3b,0,1,0,0,0,0,0,0,0,0,1,0
11,PM,8:10-8:50,pd1a,0,0,1,0,0,0,0,0,0,1,0,0
11,PM,8:10-8:50,pd1b,0,0,0,1,0,0,0,0,1,0,0,0
11,PM,8:10-8:50,pd2a,0,0,0,0,1,0,0,1,0,0,0,0
11,PM,8:10-8:50,pd2b,0,0,0,0,0,1,1,0,0,0,0,0
